Rank	Taxonpath	Taxon	X01	X02	X03	X04	X05	X06	X07	X08	X09	X10	X65-5-5	X65-5-1	X65-3-3	X65-3-1	X11	X25-I-1	X26-I-1	X27-I-1	X28-I-1	X29-I-1	X25-I-5	X30-II-5	X35-III-5	X40-I-5	X45-II-5	X12	X50-III-5	X75-5-5	X75-5-1	X75-3-3	X75-3-1	X60-5-5	X60-5-1	X60-3-3	X60-3-1	X80-5-5	X13	X80-5-1	X80-3-3	X80-3-1	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X01Pool	X11Pool	X21Pool	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	PCRRep01	PCRRep02	PCRRep03	PCRRep04	PCRRep05	PCRRep06	PCRRep07	PCRRep08	PCRRep09	PCRRep10	X55Pool	X70-5-5	X70-5-1	X70-3-3	X70-3-1	X1264-IV-5	X1274-IV-5	X1285-I-5	X1289-II-5	X1294-III-5	X1299-IV-5	X01_10_isPool	X11_20_isPool	X21_24_isPool	X55_64_isPool	XPCR
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Chordata;Appendicularia class incertae sedis	Appendicularia class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Catenulida	Catenulida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Seriata	Seriata	1	1	2	2	1	2	2	0	1	2	2	1	2	1	1	1	1	1	2	1	1	1	2	0	2	1	2	5	4	4	4	1	0	1	1	4	0	3	3	3	2	1	1	1	0	2	2	1	1	0	1	2	1	1	0	1	1	1	1	1	0	2	0	1	1	0	0	0	1	1	1	0	1	1	1	1	2	1	2	0	1	2	3	2	1	4	2	1	1	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda	Trematoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Macrostomida	Macrostomida	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	2	0	2	0	0	1	1	1	2	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Monogenea	Monogenea	0	0	0	0	0	0	0	0	0	0	3	1	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis	Rhabdocoela class incertae sedis	1	1	5	2	6	6	3	1	3	4	4	2	4	2	5	9	8	7	9	7	8	5	3	3	5	1	3	12	10	10	10	2	1	4	2	7	7	6	7	7	5	4	6	3	2	3	4	4	2	3	5	5	6	4	4	3	4	3	3	3	2	4	3	2	5	2	3	4	2	2	4	3	2	2	6	4	1	3	3	1	5	5	3	4	3	11	13	9	5	7
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes;Prolecithophora class incertae sedis	Prolecithophora class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca;Gastropoda	Gastropoda	2	2	2	2	2	2	2	3	2	2	1	0	1	0	2	0	0	0	1	1	0	1	0	0	2	2	0	2	2	2	3	1	1	1	0	1	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	3	2	2	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia	Bivalvia	0	0	0	0	1	0	0	0	0	1	4	1	3	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	2	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	1	1	1	1	0	0	0	1	1	1	2	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca;Scaphopoda	Scaphopoda	1	1	1	1	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca;Caudofoveata	Caudofoveata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Rotifera;Monogononta	Monogononta	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta	Polychaeta	4	4	4	4	4	2	7	8	7	7	16	13	15	15	6	8	9	10	9	8	9	13	11	11	15	6	16	20	19	18	20	15	12	11	9	12	5	14	12	17	6	6	3	4	5	8	9	6	5	5	5	9	8	7	7	7	8	8	10	6	9	8	7	7	7	6	6	10	8	6	7	5	8	6	7	14	11	13	13	6	7	10	10	7	5	18	17	10	14	15
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa	Anthozoa	0	2	2	1	1	1	2	1	0	1	4	0	2	1	1	0	1	0	2	0	1	2	1	3	1	2	1	0	2	2	0	3	3	2	1	0	1	2	2	0	1	3	1	1	2	1	1	1	1	2	0	1	1	2	1	1	2	1	3	1	0	2	2	1	1	2	1	1	2	2	0	0	1	1	1	1	1	2	0	1	1	1	1	4	2	2	3	3	4	2
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa	Hydrozoa	0	2	3	1	0	0	1	2	2	0	4	3	3	3	1	1	1	3	2	3	2	4	4	5	6	0	7	9	11	13	10	4	3	4	5	5	2	5	5	5	1	1	2	1	0	0	0	1	2	1	3	1	1	1	3	3	2	1	2	3	4	1	3	1	2	3	1	2	2	3	3	2	2	2	5	4	3	4	2	1	5	8	6	7	5	4	5	4	10	9
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria;Myxosporea	Myxosporea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria;Scyphozoa	Scyphozoa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata;Echinoidea	Echinoidea	1	1	0	0	2	0	2	0	0	0	2	1	1	1	0	0	0	1	1	0	2	2	2	1	1	1	1	2	2	2	2	4	3	2	2	1	1	0	1	1	0	1	2	0	0	2	0	1	2	1	2	2	1	2	3	2	2	3	2	4	4	1	1	4	2	2	3	2	1	3	4	2	2	4	3	1	1	0	0	1	2	1	2	1	1	1	2	2	5	6
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata;Holothuroidea	Holothuroidea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata;Asteroidea	Asteroidea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata;Ophiuroidea	Ophiuroidea	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	2	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Brachiopoda;Phoroniformea	Phoroniformea	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Tardigrada;Heterotardigrada	Heterotardigrada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Porifera;Demospongiae	Demospongiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Porifera;Calcarea	Calcarea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Porifera;Hexactinellida	Hexactinellida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta	Enteropneusta	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	3	2	1	1	1	0	0	0	0	0	0	0	1	2	2	0	1	2	1	0	0	1	1	0	3	0	0	1	1	0	1	1	0	0	0	1	0	2	1	1	1	1	2	1	2	1	2	2	1	0	2	1	1	2	1	2	1	1	0	0	0	1	0	0	0	2	3	4	1	2	2
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Bryozoa;Gymnolaemata	Gymnolaemata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Ctenophora;Typhlocoela	Typhlocoela	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Priapulida;Priapulidae class incertae sedis	Priapulidae class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Acoela	Acoela	5	5	7	6	7	4	6	6	5	6	2	1	1	0	6	4	4	2	2	2	4	3	6	3	3	6	2	15	13	12	12	3	2	3	3	10	7	6	9	6	6	6	6	6	7	4	6	4	5	5	6	6	6	5	2	3	3	2	3	2	3	3	3	2	3	2	2	2	2	3	2	2	2	3	3	1	0	1	0	2	2	7	5	6	7	9	10	7	3	3
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Nemertodermatida	Nemertodermatida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Acanthocephala;Palaeacanthocephala	Palaeacanthocephala	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Kinorhyncha;Homalorhagida class incertae sedis	Homalorhagida class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Kinorhyncha;Cyclorhagida class incertae sedis	Cyclorhagida class incertae sedis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nemertea;Enopla	Enopla	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	3	3	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	0	0	1	0	0	1	2	2	1	1	1	2	2
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nemertea;Heteronemertea	Heteronemertea	2	1	2	1	1	2	1	1	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	2	3	2	0	0	0	0	1	1	2	2	0	1	0	0	0	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0	0	1	0	0	0	2	3	1	1	1
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nemertea;Palaeonemertea	Palaeonemertea	1	2	2	1	2	2	2	2	2	3	2	2	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	4	4	4	3	2	1	2	3	2	2	3	2	3	2	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	3	2	2	3	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	3	3	2	2	2	0	2	3	1	2	3	2	2	5	3
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Gastrotricha;Macrodasyida class incertae sedis	Macrodasyida class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Gastrotricha;Chaetonotida class incertae sedis	Chaetonotida class incertae sedis	0	1	1	0	0	0	1	1	2	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	2	1	2	1	1	0	1	0	2	1	2	1	1	2	1	1	0	0	0	0	1	0	1	0	2	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	4	3	2	1	0
class	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Chaetognatha;Sagittoidea	Sagittoidea	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	2
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes	Sordariomycetes	1	0	1	1	1	2	1	1	1	0	1	3	3	0	0	1	1	5	2	2	1	2	0	1	2	0	0	3	0	2	2	2	1	3	0	4	0	2	4	2	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	2	2	0	2	0	0	1	3	2	0	2	1	0	0	1	1	1	2	3	1	2	2	1	2	2	2	0	0	7	1	1	7	6
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes	Dothideomycetes	1	1	2	1	0	0	1	1	1	0	2	0	3	1	0	1	1	1	0	1	0	1	1	2	1	0	1	1	1	1	1	4	0	3	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	4	1	1	0	0	1	0	1	1	2	0	7	3	0	3	1
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes	Leotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes	Eurotiomycetes	0	1	3	1	2	0	3	2	3	2	5	1	5	1	1	1	2	4	3	1	4	2	5	4	5	2	3	2	2	2	1	2	1	2	2	2	0	1	3	3	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	4	1	2	2	2	1	3	1	2	2	1	2	1	0	2	1	2	3	5	1	4	2	2	5	2	1	4	2	6	4	0	7	7
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycetes	Saccharomycetes	0	1	1	0	0	2	0	0	1	0	4	2	4	3	0	2	2	1	2	1	3	2	1	2	1	0	6	4	2	3	2	5	2	3	0	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	3	2	2	1	2	4	3	1	2	3	2	3	0	2	1	0	2	2	1	1	0	1	3	0	0	6	6
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycetes	Taphrinomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycetes	Pezizomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Neolectomycetes	Neolectomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	1	0	2	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pneumocystidomycetes	Pneumocystidomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycetes (Taphrinomycotina)	Taphrinomycetes (Taphrinomycotina)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes	Agaricomycetes	2	1	0	1	1	1	1	1	2	1	1	1	2	2	1	1	0	1	1	1	1	1	1	2	3	0	3	1	1	1	1	2	0	2	2	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	2	1	1	0	0	0	1	2	0	0	0	0	2	1	2	1	2	1	2	1	2	1	1	2	2	1	4	1	0	4	2
class	Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes	Tremellomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycetes	Ustilaginomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
class	Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes	Exobasidiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	1	2	2
